seed;plat;lin;solv;fitness1;ene;obs;ene_destvest;obs_destvest;fitness2;time
494;75;0.931582;1;0.068418;20;15;0.632456;0.632456;1.26491;0.289463
495;75;0.921395;1;0.0786054;20;15;0.632456;0.632456;1.26491;0.284901
496;75;0.899809;1;0.100191;20;15;0;0.632456;0.632456;0.270887
497;75;0.891068;1;0.108932;20;15;1.54919;0.632456;2.18165;0.292023
498;75;0.891538;1;0.108462;20;15;1.41421;1.41421;2.82843;0.288886
499;75;0.930439;1;0.0695612;20;15;0.632456;1.26491;1.89737;0.288424
500;75;0.926769;1;0.0732309;20;15;0.894427;1.67332;2.56775;0.306486
501;75;0.914802;1;0.0851982;20;15;1.09545;1.09545;2.19089;0.276154
502;75;0.899978;1;0.100022;20;15;0;0.894427;0.894427;0.283439
503;75;0.918531;1;0.0814687;20;15;0;1.09545;1.09545;0.302736
504;75;0.914997;1;0.0850026;20;15;0.894427;1.09545;1.98987;0.289456
505;75;0.91343;1;0.0865703;20;15;0;1.54919;1.54919;0.290522
506;75;0.902348;1;0.097652;20;15;0.632456;0.632456;1.26491;0.284853
507;75;0.924691;1;0.075309;20;15;1.09545;0.894427;1.98987;0.293635
508;75;0.911836;1;0.0881638;20;15;0;2.44949;2.44949;0.295565
509;75;0.943629;1;0.0563712;20;15;0.894427;1.09545;1.98987;0.283374
510;75;0.921752;1;0.0782484;20;15;0.632456;2.44949;3.08195;0.299738
511;75;0.882921;1;0.117079;20;15;0.894427;1.09545;1.98987;0.283065
512;75;0.933034;1;0.0669665;20;15;0;0.894427;0.894427;0.295078
513;75;0.937921;1;0.0620794;20;15;0.632456;0.632456;1.26491;0.278071
514;75;0.92791;1;0.0720895;20;15;0;1.41421;1.41421;0.285896
515;75;0.933905;1;0.0660946;20;15;0.632456;1.89737;2.52982;0.289768
516;75;0.921173;1;0.0788266;20;15;0;1.54919;1.54919;0.287837
517;75;0.906315;1;0.0936854;20;15;0;1.09545;1.09545;0.287985
518;75;0.911561;1;0.0884393;20;15;1.41421;0.894427;2.30864;0.302472
519;75;0.915047;1;0.0849528;20;15;0;1.78885;1.78885;0.284188
520;75;0.90823;1;0.0917697;20;15;0.632456;1.09545;1.7279;0.290464
521;75;0.931284;1;0.0687163;20;15;0;1.26491;1.26491;0.279756
522;75;0.883848;1;0.116152;20;15;0;1.41421;1.41421;0.294838
523;75;0.930813;1;0.0691868;20;15;0.632456;1.26491;1.89737;0.275639
524;75;0.91528;1;0.0847201;20;15;0;0.894427;0.894427;0.294917
525;75;0.880704;1;0.119296;20;15;0;1.78885;1.78885;0.293822
526;75;0.91487;1;0.0851301;20;15;0.894427;0.632456;1.52688;0.279089
