seed;plat;lin;solv;fitness1;ene;obs;ene_destvest;obs_destvest;fitness2;time
257;50;0.500057;1;5.69162e-05;20;12;0.632456;0.489898;4.12235;0.302992
258;50;0.500073;1;7.32026e-05;20;13;1.78885;0.489898;4.27875;0.320858
259;50;0.499988;1;1.23934e-05;20;9;0.632456;1.46969;8.10215;0.288888
260;50;0.49968;1;0.000320279;20;6;0.632456;0.979796;10.6123;0.288765
261;50;0.500271;1;0.000271066;20;7;0;1.0198;9.0198;0.317822
262;50;0.499745;1;0.000255186;20;9;1.67332;0.748331;8.42165;0.297217
263;50;0.499981;1;1.92529e-05;20;6;1.78885;0.748331;11.5372;0.313201
264;52;0.497837;1;0.042163;20;10;1.26491;1.54919;7.8141;0.294966
265;50;0.499988;1;1.21182e-05;20;13;0;2.05913;4.05913;0.298862
266;50;0.499955;1;4.54227e-05;20;9;0.894427;0.979796;7.87422;0.298978
267;50;0.500412;1;0.000411841;20;10;0.632456;1.41421;7.04667;0.2764
268;50;0.499851;1;0.00014859;20;15;0.894427;1.78885;2.68328;0.286426
269;50;0.500395;1;0.000394554;20;7;1.09545;0.8;9.89545;0.300486
270;50;0.500389;1;0.000388596;20;12;0;1.2;4.2;0.298091
271;50;0.499944;1;5.59202e-05;20;11;1.26491;0.748331;6.01324;0.322123
272;50;0.500015;1;1.45104e-05;20;11;1.09545;1.6;6.69545;0.316779
273;50;0.500076;1;7.57619e-05;20;10;0;1.09545;6.09545;0.332404
274;50;0.499905;1;9.45291e-05;20;9;1.26491;0.748331;8.01324;0.335701
275;50;0.499964;1;3.61191e-05;20;8;1.41421;1.2;9.61421;0.335584
276;50;0.500038;1;3.82688e-05;20;7;0.632456;1.0198;9.65226;0.288456
277;50;0.500013;1;1.26808e-05;20;10;1.78885;1.41421;8.20307;0.29439
278;50;0.499709;1;0.000290529;20;9;0.894427;1.16619;8.06062;0.279465
279;50;0.500821;1;0.000821355;20;11;1.54919;2.56125;8.11044;0.283752
280;50;0.499802;1;0.000198331;20;11;0.894427;1.32665;6.22108;0.289488
